Frecuencia,Amplitud,Fase,Escala
50166.96696696697,0.00842291,-112.812,1.0
50167.36736736737,0.00836188,-112.776,1.0
50167.76776776777,0.00823981,-112.746,1.0
50168.168168168166,0.00817877,-112.926,1.0
50168.56856856857,0.00811774,-112.89,1.0
50168.96896896897,0.0080567,-112.854,1.0
50169.36936936937,0.00793463,-112.914,1.0
50169.76976976977,0.00787359,-112.878,1.0
50170.17017017017,0.00781256,-112.974,1.0
50170.57057057057,0.00775149,-112.938,1.0
50170.97097097097,0.00769046,-112.908,1.0
50171.37137137137,0.00762942,-112.872,1.0
50171.771771771775,0.00750735,-112.836,1.0
50172.17217217217,0.00744632,-113.034,1.0
50172.57257257257,0.00738528,-112.998,1.0
50172.97297297297,0.00732425,-112.962,1.0
50173.373373373375,0.00726321,-112.92,1.0
50173.77377377378,0.00720218,-113.028,1.0
50174.17417417417,0.00714114,-112.992,1.0
50174.57457457457,0.00708011,-112.95,1.0
50174.974974974975,0.00701907,-113.058,1.0
50175.37537537538,0.00695804,-113.022,1.0
50175.77577577578,0.006897,-112.98,1.0
50176.17617617617,0.00683597,-112.836,1.0
50176.576576576575,0.00677493,-113.052,1.0
50176.97697697698,0.0067139,-113.01,1.0
50177.37737737738,0.00665286,-112.86,1.0
50177.77777777778,0.00659183,-113.088,1.0
50178.178178178176,0.00653079,-113.046,1.0
50178.57857857858,0.00653079,-113.16,1.0
50178.97897897898,0.00640872,-113.124,1.0
50179.37937937938,0.00634769,-112.962,1.0
50179.77977977978,0.00628665,-113.202,1.0
50180.18018018018,0.00628665,-113.04,1.0
50180.58058058058,0.00622562,-112.998,1.0
50180.98098098098,0.00616458,-113.118,1.0
50181.38138138138,0.00610355,-113.076,1.0
50181.781781781785,0.00604251,-112.908,1.0
50182.18218218218,0.00598148,-113.16,1.0
50182.58258258258,0.00592044,-112.992,1.0
50182.98298298298,0.0058594,-113.244,1.0
50183.383383383385,0.0058594,-113.07,1.0
50183.78378378379,0.00579837,-112.896,1.0
50184.18418418418,0.00573733,-113.154,1.0
50184.58458458458,0.0056763,-112.98,1.0
50184.984984984985,0.00561526,-113.244,1.0
50185.38538538539,0.00555423,-113.064,1.0
50185.78578578579,0.00555423,-113.202,1.0
50186.18618618618,0.00549319,-113.154,1.0
50186.586586586585,0.00543216,-113.292,1.0
50186.98698698699,0.00543216,-113.106,1.0
50187.38738738739,0.00537112,-112.92,1.0
50187.78778778779,0.00531009,-113.202,1.0
50188.188188188185,0.00524905,-113.01,1.0
50188.58858858859,0.00524905,-113.154,1.0
50188.98898898899,0.00518802,-112.956,1.0
50189.38938938939,0.00512698,-113.25,1.0
50189.78978978979,0.00506595,-113.052,1.0
50190.19019019019,0.00506595,-113.202,1.0
50190.59059059059,0.00500491,-112.998,1.0
50190.99099099099,0.00494388,-113.298,1.0
50191.39139139139,0.00488284,-113.1,1.0
50191.791791791795,0.00488284,-113.25,1.0
50192.19219219219,0.00482181,-113.046,1.0
50192.59259259259,0.00482181,-113.202,1.0
50192.99299299299,0.00476077,-112.992,1.0
50193.393393393395,0.00469974,-113.148,1.0
50193.7937937938,0.00469974,-112.932,1.0
50194.19419419419,0.0046387,-113.094,1.0
50194.59459459459,0.00457767,-113.034,1.0
50194.994994994995,0.00451663,-113.202,1.0
50195.3953953954,0.00451663,-113.364,1.0
50195.7957957958,0.0044556,-113.142,1.0
50196.19619619619,0.0044556,-113.31,1.0
50196.596596596595,0.00439456,-113.088,1.0
50196.996996997,0.00439456,-113.256,1.0
50197.3973973974,0.00427249,-113.028,1.0
50197.7977977978,0.00427249,-113.202,1.0
50198.198198198195,0.00427249,-113.376,1.0
50198.5985985986,0.00421146,-113.142,1.0
50198.998998999,0.00415042,-112.902,1.0
50199.3993993994,0.00415042,-113.076,1.0
50199.7997997998,0.00408939,-113.262,1.0
50200.2002002002,0.00408939,-113.016,1.0
50200.6006006006,0.00402835,-113.202,1.0
50201.001001001,0.00402835,-113.388,1.0
50201.4014014014,0.00396731,-113.136,1.0
50201.801801801805,0.00390628,-113.328,1.0
50202.2022022022,0.00384523,-113.07,1.0
50202.6026026026,0.00384523,-113.262,1.0
50203.003003003,0.00384523,-113.46,1.0
50203.403403403405,0.00378419,-113.202,1.0
50203.80380380381,0.00372316,-113.4,1.0
50204.2042042042,0.00372316,-113.13,1.0
50204.6046046046,0.00372316,-113.13,1.0
50205.005005005005,0.00366212,-113.334,1.0
50205.40540540541,0.00366212,-113.064,1.0
50205.80580580581,0.00360109,-113.268,1.0
50206.2062062062,0.00354005,-112.992,1.0
50206.606606606605,0.00354005,-113.202,1.0
50207.00700700701,0.00354005,-113.202,1.0
50207.40740740741,0.00341798,-113.124,1.0
50207.80780780781,0.00341798,-113.124,1.0
50208.208208208205,0.00341798,-112.836,1.0
50208.60860860861,0.00335695,-113.052,1.0
50209.00900900901,0.00335695,-113.274,1.0
50209.40940940941,0.00329591,-113.502,1.0
50209.80980980981,0.00329591,-112.974,1.0
50210.21021021021,0.00329591,-113.202,1.0
50210.61061061061,0.00323488,-112.89,1.0
50211.01101101101,0.00317384,-113.124,1.0
50211.41141141141,0.00317384,-113.358,1.0
50211.811811811815,0.00311281,-113.598,1.0
50212.21221221221,0.00311281,-113.04,1.0
50212.61261261261,0.00311281,-113.28,1.0
50213.01301301301,0.00305177,-112.956,1.0
50213.413413413415,0.00299074,-113.202,1.0
50213.81381381382,0.00299074,-113.202,1.0
50214.21421421421,0.00299074,-112.866,1.0
50214.61461461461,0.0029297,-113.118,1.0
50215.015015015015,0.0029297,-113.37,1.0
50215.41541541542,0.0029297,-113.37,1.0
50215.81581581582,0.00286867,-113.028,1.0
50216.21621621621,0.00280763,-113.286,1.0
50216.616616616615,0.00280763,-113.55,1.0
50217.01701701702,0.00280763,-112.932,1.0
50217.41741741742,0.0027466,-113.202,1.0
50217.81781781782,0.0027466,-113.472,1.0
50218.218218218215,0.00268556,-113.106,1.0
50218.61861861862,0.00268556,-113.106,1.0
50219.01901901902,0.00262453,-112.728,1.0
50219.41941941942,0.00262453,-113.01,1.0
50219.81981981982,0.00262453,-113.01,1.0
50220.22022022022,0.00256349,-113.298,1.0
50220.62062062062,0.00256349,-112.908,1.0
50221.02102102102,0.00256349,-112.908,1.0
50221.42142142142,0.00250246,-113.202,1.0
50221.821821821824,0.00250246,-112.506,1.0
50222.22222222222,0.00244142,-112.794,1.0
50222.62262262262,0.00244142,-113.1,1.0
50223.02302302302,0.00238039,-113.406,1.0
50223.423423423425,0.00238039,-112.68,1.0
50223.82382382383,0.00238039,-112.992,1.0
50224.22422422422,0.00231935,-113.304,1.0
50224.62462462462,0.00231935,-112.56,1.0
50225.025025025025,0.00225832,-112.872,1.0
50225.42542542543,0.00225832,-112.872,1.0
50225.82582582583,0.00225832,-113.202,1.0
50226.22622622622,0.00219728,-112.752,1.0
50226.626626626625,0.00219728,-112.752,1.0
50227.02702702703,0.00219728,-113.088,1.0
50227.42742742743,0.00213625,-113.43,1.0
50227.82782782783,0.00213625,-112.62,1.0
50228.228228228225,0.00207521,-112.962,1.0
50228.62862862863,0.00207521,-112.962,1.0
50229.02902902903,0.00207521,-113.316,1.0
50229.42942942943,0.00201418,-112.836,1.0
50229.82982982983,0.00201418,-112.836,1.0
50230.23023023023,0.00201418,-113.202,1.0
50230.63063063063,0.00195314,-112.692,1.0
50231.03103103103,0.00195314,-112.692,1.0
50231.43143143143,0.00195314,-113.07,1.0
50231.831831831834,0.00195314,-113.07,1.0
50232.23223223223,0.0018921,-113.46,1.0
50232.63263263263,0.0018921,-113.46,1.0
50233.03303303303,0.00183106,-112.932,1.0
50233.433433433434,0.00183106,-112.932,1.0
50233.833833833836,0.00183106,-113.334,1.0
50234.23423423423,0.00183106,-112.38,1.0
50234.63463463463,0.00177003,-112.782,1.0
50235.035035035035,0.00170899,-113.202,1.0
50235.43543543544,0.00170899,-113.202,1.0
50235.83583583584,0.00170899,-112.62,1.0
50236.23623623623,0.00170899,-112.62,1.0
50236.636636636635,0.00164796,-113.052,1.0
50237.03703703704,0.00164796,-113.052,1.0
50237.43743743744,0.00164796,-112.44,1.0
50237.83783783784,0.00164796,-112.44,1.0
50238.238238238235,0.00158692,-112.89,1.0
50238.63863863864,0.00158692,-112.89,1.0
50239.03903903904,0.00158692,-113.358,1.0
50239.43943943944,0.00158692,-112.248,1.0
50239.83983983984,0.00152589,-112.716,1.0
50240.24024024024,0.00152589,-112.716,1.0
50240.64064064064,0.00152589,-113.202,1.0
50241.04104104104,0.00146485,-112.038,1.0
50241.44144144144,0.00146485,-112.518,1.0
50241.841841841844,0.00146485,-112.518,1.0
50242.24224224224,0.00140382,-113.028,1.0
50242.64264264264,0.00140382,-111.804,1.0
50243.04304304304,0.00134278,-112.308,1.0
50243.443443443444,0.00134278,-112.308,1.0
50243.843843843846,0.00134278,-112.836,1.0
50244.24424424424,0.00134278,-112.836,1.0
50244.64464464464,0.00128175,-112.068,1.0
50245.045045045044,0.00128175,-112.068,1.0
50245.445445445446,0.00128175,-112.62,1.0
50245.84584584585,0.00128175,-112.62,1.0
50246.24624624624,0.00122071,-113.202,1.0
50246.646646646645,0.00122071,-111.804,1.0
50247.04704704705,0.00122071,-112.38,1.0
50247.44744744745,0.00122071,-112.38,1.0
