Tiempo,VoltajeCH1,VoltajeCH2,ResolucionVCH1,ResolucionVCH2
-3.8520000000000004e-05,-1.02,-0.002,0.02,0.0004
-3.8480000000000004e-05,-0.98,-0.0012000000000000001,0.02,0.0004
-3.8440000000000005e-05,-1.0,0.0016,0.02,0.0004
-3.84e-05,-1.04,0.004,0.02,0.0004
-3.8360000000000005e-05,-1.04,0.0048000000000000004,0.02,0.0004
-3.832e-05,-1.02,0.0024000000000000002,0.02,0.0004
-3.8280000000000006e-05,-1.0,0.0004,0.02,0.0004
-3.824e-05,-1.02,-0.0008,0.02,0.0004
-3.82e-05,-1.0,-0.0016,0.02,0.0004
-3.816e-05,-1.0,-0.0044,0.02,0.0004
-3.812e-05,-1.0,-0.0064,0.02,0.0004
-3.808e-05,-1.02,-0.0076,0.02,0.0004
-3.804e-05,-1.02,-0.0048000000000000004,0.02,0.0004
-3.8e-05,-1.0,-0.0008,0.02,0.0004
-3.796e-05,-1.0,0.0036000000000000003,0.02,0.0004
-3.792e-05,-1.0,0.0024000000000000002,0.02,0.0004
-3.788e-05,-1.0,0.0,0.02,0.0004
-3.7840000000000004e-05,-1.02,0.0012000000000000001,0.02,0.0004
-3.7800000000000004e-05,-1.02,0.0036000000000000003,0.02,0.0004
-3.7760000000000004e-05,-1.02,0.0012000000000000001,0.02,0.0004
-3.772e-05,-1.0,-0.0012000000000000001,0.02,0.0004
-3.7680000000000005e-05,-1.0,-0.0004,0.02,0.0004
-3.764e-05,-1.0,0.0024000000000000002,0.02,0.0004
-3.7600000000000006e-05,-1.02,0.002,0.02,0.0004
-3.756e-05,-1.0,0.0012000000000000001,0.02,0.0004
-3.752e-05,-1.02,0.0028,0.02,0.0004
-3.748e-05,-1.0,0.0028,0.02,0.0004
-3.744e-05,-1.0,0.004,0.02,0.0004
-3.74e-05,-1.0,0.0012000000000000001,0.02,0.0004
-3.736e-05,-1.02,-0.0028,0.02,0.0004
-3.732e-05,-1.04,-0.0012000000000000001,0.02,0.0004
-3.728e-05,-1.02,-0.0004,0.02,0.0004
-3.724e-05,-0.98,0.0004,0.02,0.0004
-3.72e-05,-1.02,0.0,0.02,0.0004
-3.716e-05,-0.96,-0.0016,0.02,0.0004
-3.7120000000000004e-05,-0.98,-0.0004,0.02,0.0004
-3.7080000000000004e-05,-1.0,0.0032,0.02,0.0004
-3.7040000000000005e-05,-0.98,0.0044,0.02,0.0004
-3.7000000000000005e-05,-1.02,0.0008,0.02,0.0004
-3.696e-05,-0.98,-0.004,0.02,0.0004
-3.6920000000000006e-05,-1.02,-0.004,0.02,0.0004
-3.688e-05,-1.02,-0.0048000000000000004,0.02,0.0004
-3.684e-05,-1.0,-0.006,0.02,0.0004
-3.68e-05,-1.02,-0.005200000000000001,0.02,0.0004
-3.676e-05,-1.0,-0.0036000000000000003,0.02,0.0004
-3.672e-05,-1.0,-0.0016,0.02,0.0004
-3.668e-05,-1.0,-0.0004,0.02,0.0004
-3.664e-05,-0.98,0.0008,0.02,0.0004
-3.66e-05,-1.0,0.0024000000000000002,0.02,0.0004
-3.656e-05,-1.02,0.0056,0.02,0.0004
-3.652e-05,-1.02,0.004,0.02,0.0004
-3.648e-05,-1.0,0.0016,0.02,0.0004
-3.6440000000000003e-05,-1.0,0.0008,0.02,0.0004
-3.6400000000000004e-05,-1.0,0.0028,0.02,0.0004
-3.6360000000000004e-05,-1.0,0.0048000000000000004,0.02,0.0004
-3.6320000000000005e-05,-1.0,0.0056,0.02,0.0004
-3.628e-05,-1.04,0.002,0.02,0.0004
-3.6240000000000005e-05,-1.02,-0.0024000000000000002,0.02,0.0004
-3.62e-05,-1.0,0.0016,0.02,0.0004
-3.6160000000000006e-05,-1.02,0.0048000000000000004,0.02,0.0004
-3.612e-05,-0.98,0.002,0.02,0.0004
-3.608e-05,-1.02,-0.0028,0.02,0.0004
-3.604e-05,-1.02,-0.0024000000000000002,0.02,0.0004
-3.6e-05,-1.02,-0.0012000000000000001,0.02,0.0004
-3.596e-05,-1.0,-0.0024000000000000002,0.02,0.0004
-3.592e-05,-0.98,-0.0024000000000000002,0.02,0.0004
-3.588e-05,-1.0,-0.0012000000000000001,0.02,0.0004
-3.584e-05,-1.02,-0.0004,0.02,0.0004
-3.58e-05,-1.02,0.002,0.02,0.0004
-3.576e-05,-1.02,0.0,0.02,0.0004
-3.5720000000000004e-05,-1.04,0.0004,0.02,0.0004
