Frecuencias,Tiempo,VoltajeCH1,VoltajeCH2,ResolucionVCH1,ResolucionVCH2
18915050.036196534,-5.2099999999999997e-08,0.52,0.0032,0.02,0.0004
18915050.036196534,-5.199999999999999e-08,0.54,0.0032,0.02,0.0004
18915050.036196534,-5.1899999999999995e-08,0.54,0.0032,0.02,0.0004
18915050.036196534,-5.179999999999999e-08,0.54,0.0036000000000000003,0.02,0.0004
18915050.036196534,-5.169999999999999e-08,0.56,0.0036000000000000003,0.02,0.0004
18915050.036196534,-5.1599999999999986e-08,0.56,0.004,0.02,0.0004
18915050.036196534,-5.149999999999999e-08,0.58,0.004,0.02,0.0004
18915050.036196534,-5.14e-08,0.58,0.0044,0.02,0.0004
18915050.036196534,-5.129999999999999e-08,0.58,0.0044,0.02,0.0004
18915050.036196534,-5.1199999999999995e-08,0.6,0.0048000000000000004,0.02,0.0004
18915050.036196534,-5.109999999999999e-08,0.6,0.0048000000000000004,0.02,0.0004
18915050.036196534,-5.0999999999999993e-08,0.6,0.005200000000000001,0.02,0.0004
18915050.036196534,-5.0899999999999986e-08,0.62,0.0056,0.02,0.0004
18915050.036196534,-5.079999999999999e-08,0.62,0.0056,0.02,0.0004
18915050.036196534,-5.07e-08,0.62,0.006,0.02,0.0004
18915050.036196534,-5.059999999999999e-08,0.62,0.0064,0.02,0.0004
18915050.036196534,-5.0499999999999996e-08,0.64,0.0064,0.02,0.0004
18915050.036196534,-5.039999999999999e-08,0.64,0.0068000000000000005,0.02,0.0004
18915050.036196534,-5.0299999999999994e-08,0.64,0.007200000000000001,0.02,0.0004
18915050.036196534,-5.0199999999999986e-08,0.64,0.007200000000000001,0.02,0.0004
18915050.036196534,-5.009999999999999e-08,0.64,0.0076,0.02,0.0004
18915050.036196534,-5e-08,0.66,0.0076,0.02,0.0004
18915050.036196534,-4.989999999999999e-08,0.66,0.008,0.02,0.0004
18915050.036196534,-4.9799999999999996e-08,0.66,0.008400000000000001,0.02,0.0004
18915050.036196534,-4.969999999999999e-08,0.66,0.008400000000000001,0.02,0.0004
18915050.036196534,-4.9599999999999994e-08,0.66,0.0088,0.02,0.0004
18915050.036196534,-4.9499999999999987e-08,0.68,0.0088,0.02,0.0004
18915050.036196534,-4.939999999999999e-08,0.68,0.0092,0.02,0.0004
18915050.036196534,-4.93e-08,0.68,0.0092,0.02,0.0004
18915050.036196534,-4.919999999999999e-08,0.68,0.009600000000000001,0.02,0.0004
18915050.036196534,-4.9099999999999996e-08,0.68,0.009600000000000001,0.02,0.0004
18915050.036196534,-4.899999999999999e-08,0.7000000000000001,0.009600000000000001,0.02,0.0004
18915050.036196534,-4.8899999999999995e-08,0.7000000000000001,0.01,0.02,0.0004
18915050.036196534,-4.879999999999999e-08,0.7000000000000001,0.01,0.02,0.0004
18915050.036196534,-4.869999999999999e-08,0.7000000000000001,0.01,0.02,0.0004
18915050.036196534,-4.8599999999999985e-08,0.7000000000000001,0.010400000000000001,0.02,0.0004
18915050.036196534,-4.849999999999999e-08,0.72,0.010400000000000001,0.02,0.0004
18915050.036196534,-4.8399999999999997e-08,0.72,0.010400000000000001,0.02,0.0004
18915050.036196534,-4.829999999999999e-08,0.72,0.010400000000000001,0.02,0.0004
18915050.036196534,-4.8199999999999995e-08,0.72,0.010400000000000001,0.02,0.0004
18915050.036196534,-4.809999999999999e-08,0.72,0.010400000000000001,0.02,0.0004
18915050.036196534,-4.799999999999999e-08,0.72,0.010400000000000001,0.02,0.0004
18915050.036196534,-4.7899999999999986e-08,0.72,0.010400000000000001,0.02,0.0004
18915050.036196534,-4.779999999999999e-08,0.72,0.010400000000000001,0.02,0.0004
18915050.036196534,-4.77e-08,0.72,0.010400000000000001,0.02,0.0004
18915050.036196534,-4.759999999999999e-08,0.74,0.010400000000000001,0.02,0.0004
18915050.036196534,-4.7499999999999995e-08,0.74,0.010400000000000001,0.02,0.0004
18915050.036196534,-4.739999999999999e-08,0.74,0.010400000000000001,0.02,0.0004
18915050.036196534,-4.7299999999999993e-08,0.74,0.010400000000000001,0.02,0.0004
18915050.036196534,-4.7199999999999986e-08,0.74,0.010400000000000001,0.02,0.0004
18915050.036196534,-4.709999999999999e-08,0.74,0.01,0.02,0.0004
18915050.036196534,-4.7e-08,0.74,0.01,0.02,0.0004
18915050.036196534,-4.689999999999999e-08,0.74,0.01,0.02,0.0004
18915050.036196534,-4.6799999999999996e-08,0.74,0.01,0.02,0.0004
18915050.036196534,-4.669999999999999e-08,0.74,0.01,0.02,0.0004
18915050.036196534,-4.6599999999999994e-08,0.76,0.01,0.02,0.0004
18915050.036196534,-4.6499999999999986e-08,0.76,0.009600000000000001,0.02,0.0004
18915050.036196534,-4.639999999999999e-08,0.76,0.009600000000000001,0.02,0.0004
18915050.036196534,-4.63e-08,0.76,0.0092,0.02,0.0004
18915050.036196534,-4.619999999999999e-08,0.76,0.0092,0.02,0.0004
18915050.036196534,-4.6099999999999996e-08,0.76,0.0088,0.02,0.0004
18915050.036196534,-4.599999999999999e-08,0.76,0.0088,0.02,0.0004
18915050.036196534,-4.5899999999999994e-08,0.76,0.008400000000000001,0.02,0.0004
18915050.036196534,-4.5799999999999987e-08,0.76,0.008400000000000001,0.02,0.0004
18915050.036196534,-4.569999999999999e-08,0.78,0.008,0.02,0.0004
18915050.036196534,-4.56e-08,0.78,0.008,0.02,0.0004
18915050.036196534,-4.549999999999999e-08,0.78,0.0076,0.02,0.0004
18915050.036196534,-4.5399999999999996e-08,0.78,0.0076,0.02,0.0004
18915050.036196534,-4.529999999999999e-08,0.78,0.007200000000000001,0.02,0.0004
18915050.036196534,-4.5199999999999994e-08,0.76,0.007200000000000001,0.02,0.0004
18915050.036196534,-4.509999999999999e-08,0.76,0.0068000000000000005,0.02,0.0004
18915050.036196534,-4.499999999999999e-08,0.76,0.0068000000000000005,0.02,0.0004
18915050.036196534,-4.4899999999999985e-08,0.76,0.0064,0.02,0.0004
18915050.036196534,-4.479999999999999e-08,0.76,0.0064,0.02,0.0004
18915050.036196534,-4.4699999999999997e-08,0.76,0.006,0.02,0.0004
18915050.036196534,-4.459999999999999e-08,0.76,0.006,0.02,0.0004
18915050.036196534,-4.4499999999999995e-08,0.76,0.0056,0.02,0.0004
18915050.036196534,-4.439999999999999e-08,0.76,0.0056,0.02,0.0004
18915050.036196534,-4.429999999999999e-08,0.74,0.005200000000000001,0.02,0.0004
18915050.036196534,-4.4199999999999986e-08,0.74,0.005200000000000001,0.02,0.0004
18915050.036196534,-4.409999999999999e-08,0.74,0.0048000000000000004,0.02,0.0004
18915050.036196534,-4.4e-08,0.74,0.0048000000000000004,0.02,0.0004
18915050.036196534,-4.389999999999999e-08,0.74,0.0048000000000000004,0.02,0.0004
18915050.036196534,-4.3799999999999995e-08,0.74,0.0044,0.02,0.0004
18915050.036196534,-4.369999999999999e-08,0.74,0.0044,0.02,0.0004
18915050.036196534,-4.3599999999999993e-08,0.74,0.0044,0.02,0.0004
18915050.036196534,-4.3499999999999986e-08,0.74,0.004,0.02,0.0004
18915050.036196534,-4.339999999999999e-08,0.74,0.004,0.02,0.0004
18915050.036196534,-4.33e-08,0.72,0.004,0.02,0.0004
18915050.036196534,-4.319999999999999e-08,0.72,0.004,0.02,0.0004
18915050.036196534,-4.3099999999999996e-08,0.72,0.004,0.02,0.0004
18915050.036196534,-4.299999999999999e-08,0.72,0.004,0.02,0.0004
18915050.036196534,-4.2899999999999994e-08,0.72,0.004,0.02,0.0004
18915050.036196534,-4.2799999999999986e-08,0.72,0.004,0.02,0.0004
18915050.036196534,-4.269999999999999e-08,0.72,0.004,0.02,0.0004
18915050.036196534,-4.26e-08,0.72,0.0044,0.02,0.0004
18915050.036196534,-4.249999999999999e-08,0.72,0.0044,0.02,0.0004
18915050.036196534,-4.2399999999999996e-08,0.72,0.0044,0.02,0.0004
18915050.036196534,-4.229999999999999e-08,0.7000000000000001,0.0044,0.02,0.0004
18915050.036196534,-4.2199999999999994e-08,0.7000000000000001,0.0048000000000000004,0.02,0.0004
18915050.036196534,-4.2099999999999987e-08,0.7000000000000001,0.0048000000000000004,0.02,0.0004
18915050.036196534,-4.199999999999999e-08,0.7000000000000001,0.0048000000000000004,0.02,0.0004
18915050.036196534,-4.1899999999999985e-08,0.7000000000000001,0.005200000000000001,0.02,0.0004
18915050.036196534,-4.179999999999999e-08,0.7000000000000001,0.005200000000000001,0.02,0.0004
18915050.036196534,-4.1699999999999996e-08,0.7000000000000001,0.005200000000000001,0.02,0.0004
18915050.036196534,-4.159999999999999e-08,0.7000000000000001,0.0056,0.02,0.0004
18915050.036196534,-4.1499999999999994e-08,0.7000000000000001,0.0056,0.02,0.0004
18915050.036196534,-4.139999999999999e-08,0.7000000000000001,0.0056,0.02,0.0004
18915050.036196534,-4.129999999999999e-08,0.7000000000000001,0.006,0.02,0.0004
18915050.036196534,-4.1199999999999985e-08,0.7000000000000001,0.006,0.02,0.0004
18915050.036196534,-4.109999999999999e-08,0.68,0.006,0.02,0.0004
18915050.036196534,-4.0999999999999997e-08,0.68,0.0064,0.02,0.0004
18915050.036196534,-4.089999999999999e-08,0.68,0.0064,0.02,0.0004
18915050.036196534,-4.0799999999999995e-08,0.68,0.0064,0.02,0.0004
18915050.036196534,-4.069999999999999e-08,0.68,0.0064,0.02,0.0004
18915050.036196534,-4.059999999999999e-08,0.68,0.0068000000000000005,0.02,0.0004
18915050.036196534,-4.0499999999999985e-08,0.68,0.0068000000000000005,0.02,0.0004
18915050.036196534,-4.039999999999999e-08,0.66,0.0068000000000000005,0.02,0.0004
18915050.036196534,-4.03e-08,0.66,0.0068000000000000005,0.02,0.0004
18915050.036196534,-4.019999999999999e-08,0.64,0.0068000000000000005,0.02,0.0004
18915050.036196534,-4.0099999999999995e-08,0.64,0.0068000000000000005,0.02,0.0004
18915050.036196534,-3.999999999999999e-08,0.62,0.0068000000000000005,0.02,0.0004
18915050.036196534,-3.9899999999999993e-08,0.62,0.007200000000000001,0.02,0.0004
18915050.036196534,-3.9799999999999986e-08,0.6,0.007200000000000001,0.02,0.0004
18915050.036196534,-3.969999999999999e-08,0.6,0.007200000000000001,0.02,0.0004
18915050.036196534,-3.96e-08,0.58,0.007200000000000001,0.02,0.0004
18915050.036196534,-3.949999999999999e-08,0.58,0.007200000000000001,0.02,0.0004
18915050.036196534,-3.9399999999999995e-08,0.56,0.007200000000000001,0.02,0.0004
18915050.036196534,-3.929999999999999e-08,0.56,0.007200000000000001,0.02,0.0004
18915050.036196534,-3.9199999999999994e-08,0.54,0.0068000000000000005,0.02,0.0004
18915050.036196534,-3.9099999999999986e-08,0.54,0.0068000000000000005,0.02,0.0004
18915050.036196534,-3.899999999999999e-08,0.54,0.0068000000000000005,0.02,0.0004
18915050.036196534,-3.89e-08,0.54,0.0068000000000000005,0.02,0.0004
18915050.036196534,-3.879999999999999e-08,0.52,0.0068000000000000005,0.02,0.0004
18915050.036196534,-3.8699999999999996e-08,0.52,0.0068000000000000005,0.02,0.0004
18915050.036196534,-3.859999999999999e-08,0.52,0.0068000000000000005,0.02,0.0004
18915050.036196534,-3.8499999999999994e-08,0.52,0.0064,0.02,0.0004
18915050.036196534,-3.8399999999999987e-08,0.52,0.0064,0.02,0.0004
18915050.036196534,-3.829999999999999e-08,0.5,0.0064,0.02,0.0004
18915050.036196534,-3.8199999999999985e-08,0.5,0.0064,0.02,0.0004
18915050.036196534,-3.809999999999999e-08,0.5,0.0064,0.02,0.0004
18915050.036196534,-3.7999999999999996e-08,0.5,0.0064,0.02,0.0004
18915050.036196534,-3.789999999999999e-08,0.5,0.006,0.02,0.0004
18915050.036196534,-3.7799999999999994e-08,0.5,0.006,0.02,0.0004
18915050.036196534,-3.769999999999999e-08,0.5,0.006,0.02,0.0004
18915050.036196534,-3.759999999999999e-08,0.5,0.006,0.02,0.0004
18915050.036196534,-3.7499999999999985e-08,0.5,0.0056,0.02,0.0004
18915050.036196534,-3.739999999999999e-08,0.48,0.0056,0.02,0.0004
18915050.036196534,-3.7299999999999997e-08,0.48,0.0056,0.02,0.0004
18915050.036196534,-3.719999999999999e-08,0.48,0.0056,0.02,0.0004
18915050.036196534,-3.7099999999999995e-08,0.46,0.005200000000000001,0.02,0.0004
18915050.036196534,-3.699999999999999e-08,0.46,0.005200000000000001,0.02,0.0004
18915050.036196534,-3.689999999999999e-08,0.44,0.005200000000000001,0.02,0.0004
18915050.036196534,-3.6799999999999985e-08,0.44,0.0048000000000000004,0.02,0.0004
18915050.036196534,-3.669999999999999e-08,0.44,0.0048000000000000004,0.02,0.0004
18915050.036196534,-3.66e-08,0.42,0.0048000000000000004,0.02,0.0004
18915050.036196534,-3.649999999999999e-08,0.42,0.0044,0.02,0.0004
18915050.036196534,-3.6399999999999995e-08,0.4,0.0044,0.02,0.0004
18915050.036196534,-3.629999999999999e-08,0.4,0.004,0.02,0.0004
18915050.036196534,-3.619999999999999e-08,0.38,0.004,0.02,0.0004
18915050.036196534,-3.6099999999999986e-08,0.38,0.004,0.02,0.0004
18915050.036196534,-3.599999999999999e-08,0.36,0.0036000000000000003,0.02,0.0004
